Date,Energy_Consumption,Temperature,Day_Type,Month,Hour,Season,Renewable_Energy_Contribution,Holiday_Flag,Economic_Activity_Index
2022-01-01 00:00:00,1548.15,16.7,Holiday,1,0,Winter,36.8,1,0.99
2022-01-01 01:00:00,1500.0,14.5,Holiday,1,1,Winter,46.1,1,0.98
2022-01-01 02:00:00,1500.0,13.8,Holiday,1,2,Winter,25.7,1,1.05
2022-01-01 03:00:00,1500.0,15.9,Holiday,1,3,Winter,13.1,1,0.81
2022-01-01 04:00:00,1500.0,12.1,Holiday,1,4,Winter,21.3,1,1.03
2022-01-01 05:00:00,1500.0,19.6,Holiday,1,5,Winter,31.0,1,0.98
2022-01-01 06:00:00,3226.94,13.5,Holiday,1,6,Winter,18.8,1,1.01
2022-01-01 07:00:00,3406.36,13.4,Holiday,1,7,Winter,24.3,1,0.97
2022-01-01 08:00:00,2465.88,15.1,Holiday,1,8,Winter,38.6,1,0.9
2022-01-01 09:00:00,2447.23,15.8,Holiday,1,9,Winter,17.1,1,0.81
2022-01-01 10:00:00,2051.33,17.4,Holiday,1,10,Winter,29.2,1,1.02
2022-01-01 11:00:00,2382.13,10.7,Holiday,1,11,Winter,25.7,1,0.93
2022-01-01 12:00:00,1672.64,16.2,Holiday,1,12,Winter,33.6,1,0.83
2022-01-01 13:00:00,2567.83,13.1,Holiday,1,13,Winter,40.7,1,1.06
2022-01-01 14:00:00,2389.33,12.7,Holiday,1,14,Winter,33.7,1,0.97
2022-01-01 15:00:00,1941.36,13.7,Holiday,1,15,Winter,19.3,1,0.98
2022-01-01 16:00:00,2549.71,17.6,Holiday,1,16,Winter,29.6,1,1.14
2022-01-01 17:00:00,3088.22,16.3,Holiday,1,17,Winter,34.0,1,0.94
2022-01-01 18:00:00,3676.77,15.1,Holiday,1,18,Winter,4.1,1,1.16
2022-01-01 19:00:00,2530.76,15.4,Holiday,1,19,Winter,31.3,1,0.97
2022-01-01 20:00:00,3075.27,14.5,Holiday,1,20,Winter,45.1,1,1.04
2022-01-01 21:00:00,3075.07,12.7,Holiday,1,21,Winter,39.5,1,0.95
2022-01-01 22:00:00,1600.18,13.6,Holiday,1,22,Winter,31.3,1,1.05
2022-01-01 23:00:00,1500.0,13.1,Holiday,1,23,Winter,26.4,1,0.97
2022-01-02 00:00:00,1832.25,16.2,Weekend,1,0,Winter,30.7,0,1.03
2022-01-02 01:00:00,1762.14,11.1,Weekend,1,1,Winter,27.3,0,0.96
2022-01-02 02:00:00,1989.34,14.9,Weekend,1,2,Winter,49.5,0,1.04
2022-01-02 03:00:00,1817.32,16.1,Weekend,1,3,Winter,11.5,0,1.0
2022-01-02 04:00:00,2372.51,15.5,Weekend,1,4,Winter,28.8,0,1.25
2022-01-02 05:00:00,1799.79,15.2,Weekend,1,5,Winter,42.1,0,0.89
2022-01-02 06:00:00,3502.12,17.7,Weekend,1,6,Winter,44.7,0,0.91
2022-01-02 07:00:00,5012.91,17.1,Weekend,1,7,Winter,20.8,0,1.22
2022-01-02 08:00:00,4122.26,15.6,Weekend,1,8,Winter,15.2,0,0.95
2022-01-02 09:00:00,5130.33,12.2,Weekend,1,9,Winter,21.5,0,1.05
2022-01-02 10:00:00,2890.94,13.0,Weekend,1,10,Winter,38.8,0,0.97
2022-01-02 11:00:00,3505.13,16.0,Weekend,1,11,Winter,14.6,0,1.14
2022-01-02 12:00:00,3038.17,16.1,Weekend,1,12,Winter,18.3,0,1.08
2022-01-02 13:00:00,3178.16,16.9,Weekend,1,13,Winter,33.2,0,1.04
2022-01-02 14:00:00,3156.85,13.3,Weekend,1,14,Winter,33.6,0,1.03
2022-01-02 15:00:00,3166.14,20.9,Weekend,1,15,Winter,18.8,0,1.05
2022-01-02 16:00:00,3368.71,12.4,Weekend,1,16,Winter,42.3,0,1.08
2022-01-02 17:00:00,4673.04,18.2,Weekend,1,17,Winter,38.9,0,1.05
2022-01-02 18:00:00,3920.11,14.6,Weekend,1,18,Winter,21.8,0,0.93
2022-01-02 19:00:00,4688.12,15.1,Weekend,1,19,Winter,33.5,0,1.04
2022-01-02 20:00:00,5526.3,15.4,Weekend,1,20,Winter,28.0,0,1.15
2022-01-02 21:00:00,3945.69,17.2,Weekend,1,21,Winter,20.0,0,0.92
2022-01-02 22:00:00,2010.07,14.7,Weekend,1,22,Winter,35.4,0,1.08
2022-01-02 23:00:00,1831.86,12.8,Weekend,1,23,Winter,26.2,0,0.86
2022-01-03 00:00:00,2103.15,16.2,Weekday,1,0,Winter,32.8,0,0.88
2022-01-03 01:00:00,2262.82,12.9,Weekday,1,1,Winter,31.6,0,1.02
2022-01-03 02:00:00,2632.8,16.6,Weekday,1,2,Winter,41.9,0,1.06
2022-01-03 03:00:00,2386.59,11.4,Weekday,1,3,Winter,36.2,0,0.91
2022-01-03 04:00:00,3371.67,17.1,Weekday,1,4,Winter,36.7,0,1.39
2022-01-03 05:00:00,2513.62,18.4,Weekday,1,5,Winter,27.9,0,1.07
2022-01-03 06:00:00,5579.06,13.2,Weekday,1,6,Winter,26.2,0,0.98
2022-01-03 07:00:00,3964.4,22.5,Weekday,1,7,Winter,37.9,0,0.82
2022-01-03 08:00:00,5997.85,14.1,Weekday,1,8,Winter,31.7,0,1.12
2022-01-03 09:00:00,6107.96,13.4,Weekday,1,9,Winter,23.7,0,1.08
2022-01-03 10:00:00,3770.36,15.7,Weekday,1,10,Winter,52.5,0,0.94
2022-01-03 11:00:00,4591.92,9.4,Weekday,1,11,Winter,24.4,0,1.03
2022-01-03 12:00:00,4203.45,13.1,Weekday,1,12,Winter,36.1,0,1.0
2022-01-03 13:00:00,3896.19,11.9,Weekday,1,13,Winter,26.3,0,0.98
2022-01-03 14:00:00,3973.84,20.8,Weekday,1,14,Winter,18.4,0,1.05
2022-01-03 15:00:00,4005.18,21.9,Weekday,1,15,Winter,15.8,0,1.11
2022-01-03 16:00:00,3535.76,19.3,Weekday,1,16,Winter,35.5,0,0.94
2022-01-03 17:00:00,5513.09,12.7,Weekday,1,17,Winter,0.0,0,1.0
2022-01-03 18:00:00,4577.48,14.8,Weekday,1,18,Winter,47.4,0,0.88
2022-01-03 19:00:00,5392.2,14.2,Weekday,1,19,Winter,45.4,0,1.02
2022-01-03 20:00:00,5221.88,19.0,Weekday,1,20,Winter,21.2,0,1.01
2022-01-03 21:00:00,5016.73,16.1,Weekday,1,21,Winter,31.7,0,0.95
2022-01-03 22:00:00,2237.72,15.9,Weekday,1,22,Winter,46.9,0,1.08
2022-01-03 23:00:00,1922.13,21.9,Weekday,1,23,Winter,29.5,0,0.81
2022-01-04 00:00:00,2074.36,16.5,Weekday,1,0,Winter,29.3,0,0.95
2022-01-04 01:00:00,2494.77,13.9,Weekday,1,1,Winter,34.9,0,1.1
2022-01-04 02:00:00,2429.86,18.4,Weekday,1,2,Winter,39.5,0,1.04
2022-01-04 03:00:00,2446.63,13.2,Weekday,1,3,Winter,38.8,0,0.95
2022-01-04 04:00:00,2265.28,15.6,Weekday,1,4,Winter,44.2,0,1.02
2022-01-04 05:00:00,2456.83,17.3,Weekday,1,5,Winter,29.2,0,0.99
2022-01-04 06:00:00,5668.66,18.2,Weekday,1,6,Winter,44.4,0,1.09
2022-01-04 07:00:00,5098.72,17.7,Weekday,1,7,Winter,34.6,0,0.98
2022-01-04 08:00:00,6205.29,16.0,Weekday,1,8,Winter,23.2,0,1.07
2022-01-04 09:00:00,5262.91,12.7,Weekday,1,9,Winter,43.0,0,0.89
2022-01-04 10:00:00,3846.5,17.6,Weekday,1,10,Winter,31.3,0,1.07
2022-01-04 11:00:00,3618.92,15.9,Weekday,1,11,Winter,41.1,0,0.94
2022-01-04 12:00:00,3862.91,13.2,Weekday,1,12,Winter,35.5,0,0.98
2022-01-04 13:00:00,4103.38,13.2,Weekday,1,13,Winter,33.8,0,1.04
2022-01-04 14:00:00,3841.19,14.3,Weekday,1,14,Winter,16.9,0,1.04
2022-01-04 15:00:00,4293.52,13.5,Weekday,1,15,Winter,34.5,0,0.99
2022-01-04 16:00:00,3483.44,18.3,Weekday,1,16,Winter,31.2,0,1.0
2022-01-04 17:00:00,5184.88,15.6,Weekday,1,17,Winter,34.6,0,0.98
2022-01-04 18:00:00,6233.7,17.2,Weekday,1,18,Winter,30.3,0,1.17
2022-01-04 19:00:00,5086.3,17.8,Weekday,1,19,Winter,33.6,0,0.97
2022-01-04 20:00:00,5156.24,16.0,Weekday,1,20,Winter,31.6,0,0.94
2022-01-04 21:00:00,5398.51,20.0,Weekday,1,21,Winter,52.9,0,1.11
2022-01-04 22:00:00,2124.8,18.3,Weekday,1,22,Winter,53.3,0,1.03
2022-01-04 23:00:00,2218.14,13.2,Weekday,1,23,Winter,10.1,0,0.95
2022-01-05 00:00:00,2875.85,13.6,Weekday,1,0,Winter,35.1,0,1.03
2022-01-05 01:00:00,2211.29,18.7,Weekday,1,1,Winter,22.7,0,0.96
2022-01-05 02:00:00,2902.9,11.9,Weekday,1,2,Winter,43.5,0,1.2
2022-01-05 03:00:00,3183.49,10.7,Weekday,1,3,Winter,30.6,0,1.15
2022-01-05 04:00:00,2432.2,11.1,Weekday,1,4,Winter,31.8,0,0.95
2022-01-05 05:00:00,2545.7,14.5,Weekday,1,5,Winter,21.0,0,1.08
2022-01-05 06:00:00,5538.45,16.2,Weekday,1,6,Winter,38.8,0,1.07
2022-01-05 07:00:00,6597.12,11.3,Weekday,1,7,Winter,35.0,0,1.14
2022-01-05 08:00:00,5225.68,20.5,Weekday,1,8,Winter,43.5,0,1.03
2022-01-05 09:00:00,6422.77,22.0,Weekday,1,9,Winter,29.2,0,1.19
2022-01-05 10:00:00,4455.67,17.8,Weekday,1,10,Winter,22.1,0,1.15
2022-01-05 11:00:00,2664.15,19.0,Weekday,1,11,Winter,19.9,0,0.84
2022-01-05 12:00:00,4304.53,15.1,Weekday,1,12,Winter,46.7,0,1.09
2022-01-05 13:00:00,3186.59,20.7,Weekday,1,13,Winter,14.7,0,0.88
2022-01-05 14:00:00,3834.48,17.0,Weekday,1,14,Winter,11.0,0,1.01
2022-01-05 15:00:00,4325.98,11.9,Weekday,1,15,Winter,35.4,0,1.08
2022-01-05 16:00:00,3829.89,14.3,Weekday,1,16,Winter,31.1,0,0.91
2022-01-05 17:00:00,5963.44,12.9,Weekday,1,17,Winter,26.4,0,1.07
2022-01-05 18:00:00,4757.85,15.5,Weekday,1,18,Winter,26.2,0,0.91
2022-01-05 19:00:00,5349.34,21.8,Weekday,1,19,Winter,24.7,0,1.02
2022-01-05 20:00:00,5597.88,15.5,Weekday,1,20,Winter,37.9,0,0.99
2022-01-05 21:00:00,4913.41,14.3,Weekday,1,21,Winter,29.0,0,0.96
2022-01-05 22:00:00,2866.86,11.3,Weekday,1,22,Winter,48.2,0,1.15
2022-01-05 23:00:00,2590.67,17.6,Weekday,1,23,Winter,62.5,0,1.05
2022-01-06 00:00:00,2209.66,15.6,Weekday,1,0,Winter,16.0,0,0.92
2022-01-06 01:00:00,1914.59,13.8,Weekday,1,1,Winter,25.6,0,0.88
2022-01-06 02:00:00,2741.84,21.1,Weekday,1,2,Winter,32.0,0,1.11
2022-01-06 03:00:00,2275.1,16.3,Weekday,1,3,Winter,47.3,0,0.93
2022-01-06 04:00:00,2191.8,12.9,Weekday,1,4,Winter,23.3,0,1.0
2022-01-06 05:00:00,2791.96,18.8,Weekday,1,5,Winter,18.1,0,1.21
2022-01-06 06:00:00,5303.61,14.1,Weekday,1,6,Winter,26.1,0,0.97
2022-01-06 07:00:00,5074.77,16.2,Weekday,1,7,Winter,34.8,0,0.94
2022-01-06 08:00:00,5275.82,15.3,Weekday,1,8,Winter,26.3,0,0.93
2022-01-06 09:00:00,5030.68,17.5,Weekday,1,9,Winter,33.1,0,0.92
2022-01-06 10:00:00,4680.64,11.0,Weekday,1,10,Winter,25.4,0,1.07
2022-01-06 11:00:00,3412.87,13.7,Weekday,1,11,Winter,15.8,0,0.84
2022-01-06 12:00:00,3231.53,16.8,Weekday,1,12,Winter,38.4,0,0.93
2022-01-06 13:00:00,3519.47,15.8,Weekday,1,13,Winter,25.5,0,0.9
2022-01-06 14:00:00,3886.88,13.4,Weekday,1,14,Winter,42.1,0,0.98
2022-01-06 15:00:00,3654.26,18.5,Weekday,1,15,Winter,37.4,0,0.91
2022-01-06 16:00:00,4122.35,8.6,Weekday,1,16,Winter,37.8,0,0.94
2022-01-06 17:00:00,5091.06,17.1,Weekday,1,17,Winter,32.9,0,0.96
2022-01-06 18:00:00,5246.61,19.5,Weekday,1,18,Winter,35.4,0,1.05
2022-01-06 19:00:00,5385.26,14.6,Weekday,1,19,Winter,36.0,0,0.98
2022-01-06 20:00:00,6520.35,16.9,Weekday,1,20,Winter,40.8,0,1.23
2022-01-06 21:00:00,4781.85,19.6,Weekday,1,21,Winter,11.7,0,0.98
2022-01-06 22:00:00,2876.82,10.4,Weekday,1,22,Winter,32.2,0,0.99
2022-01-06 23:00:00,1848.78,17.0,Weekday,1,23,Winter,40.4,0,1.0
2022-01-07 00:00:00,2764.66,16.9,Weekday,1,0,Winter,17.6,0,1.1
2022-01-07 01:00:00,2703.2,17.2,Weekday,1,1,Winter,38.7,0,0.98
2022-01-07 02:00:00,2253.2,16.7,Weekday,1,2,Winter,27.8,0,1.05
2022-01-07 03:00:00,1992.88,18.7,Weekday,1,3,Winter,33.1,0,0.94
2022-01-07 04:00:00,2300.72,17.6,Weekday,1,4,Winter,42.8,0,1.05
2022-01-07 05:00:00,2269.75,15.4,Weekday,1,5,Winter,28.0,0,0.92
2022-01-07 06:00:00,5132.66,18.5,Weekday,1,6,Winter,41.1,0,0.93
2022-01-07 07:00:00,6204.23,17.4,Weekday,1,7,Winter,24.7,0,1.21
2022-01-07 08:00:00,7021.75,10.9,Weekday,1,8,Winter,38.9,0,1.17
2022-01-07 09:00:00,4915.37,17.0,Weekday,1,9,Winter,56.9,0,0.91
2022-01-07 10:00:00,4289.48,16.5,Weekday,1,10,Winter,37.2,0,1.09
2022-01-07 11:00:00,4625.08,13.8,Weekday,1,11,Winter,51.2,0,1.07
2022-01-07 12:00:00,3565.61,21.0,Weekday,1,12,Winter,22.5,0,0.97
2022-01-07 13:00:00,4708.35,16.4,Weekday,1,13,Winter,15.5,0,1.13
2022-01-07 14:00:00,3525.97,15.7,Weekday,1,14,Winter,22.3,0,0.98
2022-01-07 15:00:00,3575.47,18.7,Weekday,1,15,Winter,19.5,0,1.03
2022-01-07 16:00:00,4428.4,15.2,Weekday,1,16,Winter,29.8,0,1.19
2022-01-07 17:00:00,5502.77,15.5,Weekday,1,17,Winter,5.4,0,1.0
2022-01-07 18:00:00,6271.31,15.5,Weekday,1,18,Winter,50.9,0,1.09
2022-01-07 19:00:00,5071.8,15.4,Weekday,1,19,Winter,58.1,0,0.91
2022-01-07 20:00:00,5544.02,16.2,Weekday,1,20,Winter,34.4,0,1.02
2022-01-07 21:00:00,5353.09,14.5,Weekday,1,21,Winter,32.1,0,0.97
2022-01-07 22:00:00,2818.52,14.1,Weekday,1,22,Winter,29.9,0,1.03
2022-01-07 23:00:00,2629.82,8.2,Weekday,1,23,Winter,44.9,0,1.13
2022-01-08 00:00:00,1731.38,15.3,Weekend,1,0,Winter,18.7,0,0.99
2022-01-08 01:00:00,2644.25,13.0,Weekend,1,1,Winter,42.1,0,1.2
2022-01-08 02:00:00,1738.7,18.5,Weekend,1,2,Winter,27.5,0,0.91
2022-01-08 03:00:00,2121.28,12.7,Weekend,1,3,Winter,30.3,0,1.1
2022-01-08 04:00:00,2157.65,18.5,Weekend,1,4,Winter,29.1,0,1.07
2022-01-08 05:00:00,2099.37,13.1,Weekend,1,5,Winter,38.7,0,1.09
2022-01-08 06:00:00,3829.88,17.4,Weekend,1,6,Winter,42.0,0,0.9
2022-01-08 07:00:00,4809.16,14.8,Weekend,1,7,Winter,25.7,0,1.13
2022-01-08 08:00:00,5517.75,11.7,Weekend,1,8,Winter,19.9,0,1.09
2022-01-08 09:00:00,5820.75,10.1,Weekend,1,9,Winter,34.9,0,1.19
2022-01-08 10:00:00,3653.35,14.7,Weekend,1,10,Winter,32.4,0,1.07
2022-01-08 11:00:00,3221.6,16.7,Weekend,1,11,Winter,29.1,0,1.04
2022-01-08 12:00:00,2775.14,17.3,Weekend,1,12,Winter,19.3,0,0.85
2022-01-08 13:00:00,3189.56,16.9,Weekend,1,13,Winter,32.9,0,1.01
2022-01-08 14:00:00,2858.61,14.8,Weekend,1,14,Winter,34.7,0,0.95
2022-01-08 15:00:00,2709.61,17.6,Weekend,1,15,Winter,43.0,0,0.86
2022-01-08 16:00:00,3668.79,17.1,Weekend,1,16,Winter,49.4,0,1.12
2022-01-08 17:00:00,4343.35,10.8,Weekend,1,17,Winter,26.5,0,0.9
2022-01-08 18:00:00,3904.15,17.9,Weekend,1,18,Winter,34.6,0,0.95
2022-01-08 19:00:00,3741.07,14.5,Weekend,1,19,Winter,23.5,0,0.89
2022-01-08 20:00:00,5753.38,13.4,Weekend,1,20,Winter,23.2,0,1.13
2022-01-08 21:00:00,4590.4,17.9,Weekend,1,21,Winter,24.2,0,1.05
2022-01-08 22:00:00,1993.47,14.6,Weekend,1,22,Winter,58.3,0,1.04
2022-01-08 23:00:00,2034.09,19.8,Weekend,1,23,Winter,32.4,0,0.96
2022-01-09 00:00:00,2238.88,14.7,Weekend,1,0,Winter,40.2,0,1.21
2022-01-09 01:00:00,1724.81,18.4,Weekend,1,1,Winter,39.3,0,1.12
2022-01-09 02:00:00,2085.91,14.4,Weekend,1,2,Winter,32.3,0,1.0
2022-01-09 03:00:00,1786.05,17.1,Weekend,1,3,Winter,36.9,0,0.89
2022-01-09 04:00:00,2159.78,18.2,Weekend,1,4,Winter,41.4,0,1.14
2022-01-09 05:00:00,1667.95,16.3,Weekend,1,5,Winter,37.4,0,0.86
2022-01-09 06:00:00,4099.63,17.4,Weekend,1,6,Winter,22.3,0,0.9
2022-01-09 07:00:00,4825.12,16.4,Weekend,1,7,Winter,33.4,0,1.1
2022-01-09 08:00:00,3965.96,19.4,Weekend,1,8,Winter,34.0,0,0.98
2022-01-09 09:00:00,4386.27,15.2,Weekend,1,9,Winter,35.3,0,1.0
2022-01-09 10:00:00,2681.07,20.3,Weekend,1,10,Winter,31.2,0,0.94
2022-01-09 11:00:00,2829.2,20.9,Weekend,1,11,Winter,43.4,0,1.05
